# sent_id = 1003
# file = 00001
# text = 자기계발을 원하는 사람에게 가장 적합한 학교
1	자기계발을	자기+계발을	자기+계발+을	PRON	NP+NNG_JKO	NP+NNG+JKO
8	.	.	.	PUNC	SF	SF

# sent_id = 1892
# file = 00001
# text = 안보를 최우선으로 강조하되 통일정책은 초당적이고 남북협력 토대를 만들어 정권이 바뀌더라도 통일정책을 일관적이고 지속적으로 추진하도록 노력한다 .
1	안보를	안보+를	안보+를	NOUN	NNG+JKO	NNG+JKO
2	최우선으로	최우선+으로	최우선+으로	NOUN	NNG+JKB	NNG+JKB
3	강조하되	강조하+되	강조하+되	VERB	VV+EC	VV+EC
4	통일정책은	통일정책+은	통일정책+은	NOUN	NNG+JX	NNG+JX
5	초당적이고	초당적+이고	초당적+이+고	VERB	NNG+VCP_EC	NNG+VCP+EC
6	남북협력	남북협력	남북협력	PROPN	NNP	NNP
7	토대를	토대+를	토대+를	NOUN	NNG+JKO	NNG+JKO
8	만들어	만들+어	만들+어	VERB	VV+EC	VV+EC
9	정권이	정권+이	정권+이	NOUN	NNG+JKS	NNG+JKS
10	바뀌더라도	바뀌+더라도	바뀌+더라도	VERB	VV+EC	VV+EC
11	통일정책을	통일정책+을	통일정책+을	NOUN	NNG+JKO	NNG+JKO
12	일관적이고	일관적+이고	일관적+이+고	VERB	NNG+VCP_EC	NNG+VCP+EC
13	지속적으로	지속적+으로	지속적+으로	NOUN	NNG+JKB	NNG+JKB
14	추진하도록	추진하+도록	추진하+도록	VERB	VV+EC	VV+EC
15	노력한다	노력한+다	노력하+ㄴ다	VERB	VV+EF	VV+EF
16	.	.	.	PUNC	SF	SF

# sent_id = 1893
# file = 00001
# text = 트럼프 대통령은 북한 정권 파괴와 미국 본토 사이에 선택해야 한다면 북 정권 파괴로 갈 것이며 , 중국도 이런 상황을 이해하길 바란다 .
1	트럼프	트럼프	트럼프	PROPN	NNP	NNP
2	대통령은	대통령+은	대통령+은	NOUN	NNG+JX	NNG+JX
3	북한	북한	북한	PROPN	NNP	NNP
4	정권	정권	정권	NOUN	NNG	NNG
5	파괴와	파괴+와	파괴+와	NOUN	NNG+JC	NNG+JC
6	미국	미국	미국	PROPN	NNP	NNP
7	본토	본토	본토	NOUN	NNG	NNG
8	사이에	사이+에	사이+에	NOUN	NNG+JKB	NNG+JKB
9	선택해야	선택해+야	선택하+어야	VERB	VV+EC	VV+EC
10	한다면	한+다면	하+ㄴ다면	AUX	VX+EC	VX+EC
11	북	북	북	PROPN	NNP	NNP
12	정권	정권	정권	NOUN	NNG	NNG
13	파괴로	파괴+로	파괴+로	NOUN	NNG+JKB	NNG+JKB
14	갈	갈	가+ㄹ	VERB	VV_ETM	VV+ETM
15	것이며	것+이며	것+이+며	VERB	NNB+VCP_EC	NNB+VCP+EC
16	,	,	,	PUNC	SP	SP
17	중국도	중국+도	중국+도	PROPN	NNP+JX	NNP+JX
18	이런	이런	이런	DET	MM	MM
19	상황을	상황+을	상황+을	NOUN	NNG+JKO	NNG+JKO
20	이해하길	이해하+길	이해하+기+ㄹ	VERB	VV+ETN_JKO	VV+ETN+JKO
21	바란다	바란+다	바라+ㄴ다	VERB	VV+EF	VV+EF
22	.	.	.	PUNC	SF	SF

# sent_id = 1896
# file = 00001
# text = 나눔의 마음을 담은 김치를 이웃들이 맛있게 드시고 따뜻한 겨울을 보내셨으면 좋겠다 .
1	나눔의	나눔+의	나누+ㅁ+의	VERB	VV+ETN_JKG	VV+ETN+JKG
2	마음을	마음+을	마음+을	NOUN	NNG+JKO	NNG+JKO
3	담은	담+은	담+은	VERB	VV+ETM	VV+ETM
4	김치를	김치+를	김치+를	NOUN	NNG+JKO	NNG+JKO
5	이웃들이	이웃들+이	이웃들+이	NOUN	NNG+JKS	NNG+JKS
6	맛있게	맛있+게	맛있+게	ADJ	VA+EC	VA+EC
7	드시고	드+시고	들+시+고	VERB	VV+EP_EC	VV+EP+EC
8	따뜻한	따뜻한	따뜻하+ㄴ	ADJ	VA_ETM	VA+ETM
9	겨울을	겨울+을	겨울+을	NOUN	NNG+JKO	NNG+JKO
10	보내셨으면	보내+셨으면	보내+시+었+으면	VERB	VV+EP_EP_EC	VV+EP+EP+EC
11	좋겠다	좋+겠다	좋+겠+다	ADJ	VA+EP_EF	VA+EP+EF
12	.	.	.	PUNC	SF	SF

# sent_id = 1897
# file = 00001
# text = 앞으로도 도움의 손길이 필요한 지역주민들을 위해 이웃사랑을 적극적으로 실천하겠다 .
1	앞으로도	앞+으로도	앞+으로+도	NOUN	NNG+JKB_JX	NNG+JKB+JX
2	도움의	도움+의	도움+의	NOUN	NNG+JKG	NNG+JKG
3	손길이	손길+이	손길+이	NOUN	NNG+JKS	NNG+JKS
4	필요한	필요한	필요하+ㄴ	ADJ	VA_ETM	VA+ETM
5	지역주민들을	지역주민들+을	지역주민들+을	NOUN	NNG+JKO	NNG+JKO
6	위해	위해	위하+어	VERB	VV_EC	VV+EC
7	이웃사랑을	이웃사랑+을	이웃사랑+을	NOUN	NNG+JKO	NNG+JKO
8	적극적으로	적극적+으로	적극적+으로	NOUN	NNG+JKB	NNG+JKB
9	실천하겠다	실천하+겠다	실천하+겠+다	VERB	VV+EP_EF	VV+EP+EF
10	.	.	.	PUNC	SF	SF

# sent_id = 1898
# file = 00001
# text = 섣불리 등록하기보다 추이를 지켜봐야 할 것 같아 보류 신청을 했고 KBL이 받아들였다 .
1	섣불리	섣불리	섣불리	ADV	MAG	MAG
2	등록하기보다	등록하+기보다	등록하+기+보다	VERB	VV+ETN_JKB	VV+ETN+JKB
3	추이를	추이+를	추이+를	NOUN	NNG+JKO	NNG+JKO
4	지켜봐야	지켜봐+야	지켜보+아야	VERB	VV+EC	VV+EC
5	할	할	하+ㄹ	AUX	VX_ETM	VX+ETM
6	것	것	것	NOUN	NNB	NNB
7	같아	같+아	같+아	ADJ	VA+EC	VA+EC
8	보류	보류	보류	NOUN	NNG	NNG
9	신청을	신청+을	신청+을	NOUN	NNG+JKO	NNG+JKO
10	했고	했+고	하+었+고	VERB	VV+EP_EC	VV+EP+EC
11	KBL이	KBL+이	KBL+이	NOUN	SL+JKS	SL+JKS
12	받아들였다	받아들였+다	받아들이+었+다	VERB	VV+EP_EF	VV+EP+EF
13	.	.	.	PUNC	SF	SF

# sent_id = 1900
# file = 00001
# text = 조선 대표단이 8월30일 제네바 군축회의 3기 전원회의에서 최근 성과적으로 진행된 중장거리전략탄도로켓 발사와 관련해 조작된 유엔 안전보장이사회 의장성명을 전면 배격하는 원칙적 입장을 밝혔다 .
1	조선	조선	조선	PROPN	NNP	NNP
2	대표단이	대표단+이	대표단+이	NOUN	NNG+JKS	NNG+JKS
3	8월30일	8+월30일	8+월+30+일	NUM	SN+NNB_SN_NNB	SN+NNB+SN+NNB
4	제네바	제네바	제네바	PROPN	NNP	NNP
5	군축회의	군축회의	군축회의	NOUN	NNG	NNG
6	3기	3+기	3+기	NUM	SN+NNG	SN+NNG
7	전원회의에서	전원회의+에서	전원회의+에서	NOUN	NNG+JKB	NNG+JKB
8	최근	최근	최근	NOUN	NNG	NNG
9	성과적으로	성과적+으로	성과적+으로	NOUN	NNG+JKB	NNG+JKB
10	진행된	진행된	진행되+ㄴ	VERB	VV_ETM	VV+ETM
11	중장거리전략탄도로켓	중장거리전략탄도로켓	중장거리전략탄도로켓	NOUN	NNG	NNG
12	발사와	발사+와	발사+와	NOUN	NNG+JC	NNG+JC
13	관련해	관련해	관련하+어	VERB	VV_EC	VV+EC
14	조작된	조작된	조작되+ㄴ	VERB	VV_ETM	VV+ETM
15	유엔	유엔	유엔	PROPN	NNP	NNP
16	안전보장이사회	안전보장이사회	안전보장이사회	NOUN	NNG	NNG
17	의장성명을	의장성명+을	의장성명+을	NOUN	NNG+JKO	NNG+JKO
18	전면	전면	전면	NOUN	NNG	NNG
19	배격하는	배격하+는	배격하+는	VERB	VV+ETM	VV+ETM
20	원칙적	원칙적	원칙적	DET	MM	MM
21	입장을	입장+을	입장+을	NOUN	NNG+JKO	NNG+JKO
22	밝혔다	밝혔+다	밝히+었+다	VERB	VV+EP_EF	VV+EP+EF
23	.	.	.	PUNC	SF	SF

# sent_id = 1901
# file = 00001
# text = 한은이 모니터링한 결과 9월 들어 IT투자 확대에 힘입어 설비투자가 증가했고 소비도 확대했다 .
1	한은이	한은+이	한은+이	PROPN	NNP+JKS	NNP+JKS
2	모니터링한	모니터링한	모니터링하+ㄴ	VERB	VV_ETM	VV+ETM
3	결과	결과	결과	NOUN	NNG	NNG
4	9월	9+월	9+월	NUM	SN+NNB	SN+NNB
5	들어	들+어	들+어	VERB	VV+EC	VV+EC
6	IT투자	IT+투자	IT+투자	NOUN	SL+NNG	SL+NNG
7	확대에	확대+에	확대+에	NOUN	NNG+JKB	NNG+JKB
8	힘입어	힘입+어	힘입+어	VERB	VV+EC	VV+EC
9	설비투자가	설비투자+가	설비투자+가	NOUN	NNG+JKS	NNG+JKS
10	증가했고	증가했+고	증가하+었+고	VERB	VV+EP_EC	VV+EP+EC
11	소비도	소비+도	소비+도	NOUN	NNG+JX	NNG+JX
12	확대했다	확대했+다	확대하+었+다	VERB	VV+EP_EF	VV+EP+EF
13	.	.	.	PUNC	SF	SF

# sent_id = 1902
# file = 00001
# text = 대선 패배 책임을 진 지도부의 후임을 선출하는 단순한 임시 전당대회가 되는 순간 당의 미래는 어둡다 .
1	대선	대선	대선	NOUN	NNG	NNG
2	패배	패배	패배	NOUN	NNG	NNG
3	책임을	책임+을	책임+을	NOUN	NNG+JKO	NNG+JKO
4	진	진	지+ㄴ	VERB	VV_ETM	VV+ETM
5	지도부의	지도부+의	지도부+의	NOUN	NNG+JKG	NNG+JKG
6	후임을	후임+을	후임+을	NOUN	NNG+JKO	NNG+JKO
7	선출하는	선출하+는	선출하+는	VERB	VV+ETM	VV+ETM
8	단순한	단순한	단순하+ㄴ	ADJ	VA_ETM	VA+ETM
9	임시	임시	임시	NOUN	NNG	NNG
10	전당대회가	전당대회+가	전당대회+가	NOUN	NNG+JKC	NNG+JKC
11	되는	되+는	되+는	VERB	VV+ETM	VV+ETM
12	순간	순간	순간	NOUN	NNG	NNG
13	당의	당+의	당+의	NOUN	NNG+JKG	NNG+JKG
14	미래는	미래+는	미래+는	NOUN	NNG+JX	NNG+JX
15	어둡다	어둡+다	어둡+다	ADJ	VA+EF	VA+EF
16	.	.	.	PUNC	SF	SF

# sent_id = 1903
# file = 00001
# text = 중진도 사즉생의 기회로 달려들지 않으면 도태되는 구조를 만들어야 한다 .
1	중진도	중진+도	중진+도	NOUN	NNG+JX	NNG+JX
2	사즉생의	사즉생+의	사즉생+의	NOUN	NNG+JKG	NNG+JKG
3	기회로	기회+로	기회+로	NOUN	NNG+JKB	NNG+JKB
4	달려들지	달려들+지	달려들+지	VERB	VV+EC	VV+EC
5	않으면	않+으면	않+으면	AUX	VX+EC	VX+EC
6	도태되는	도태되+는	도태되+는	VERB	VV+ETM	VV+ETM
7	구조를	구조+를	구조+를	NOUN	NNG+JKO	NNG+JKO
8	만들어야	만들+어야	만들+어야	VERB	VV+EC	VV+EC
9	한다	한+다	하+ㄴ다	AUX	VX+EF	VX+EF
10	.	.	.	PUNC	SF	SF

# sent_id = 1904
# file = 00001
# text = 지금까지 간을 보며 박근혜 전 대통령이 빠진 자리를 꿰차보려 했던 계산이 여의치 않자 이러한 선택을 한 것
1	지금까지	지금+까지	지금+까지	NOUN	NNG+JX	NNG+JX
2	간을	간+을	간+을	NOUN	NNG+JKO	NNG+JKO
3	보며	보+며	보+며	VERB	VV+EC	VV+EC
4	박근혜	박근혜	박근혜	PROPN	NNP	NNP
5	전	전	전	DET	MM	MM
6	대통령이	대통령+이	대통령+이	NOUN	NNG+JKS	NNG+JKS
7	빠진	빠진	빠지+ㄴ	VERB	VV_ETM	VV+ETM
8	자리를	자리+를	자리+를	NOUN	NNG+JKO	NNG+JKO
9	꿰차보려	꿰차보+려	꿰차보+려	VERB	VV+EC	VV+EC
10	했던	했+던	하+었+던	AUX	VX+EP_ETM	VX+EP+ETM
11	계산이	계산+이	계산+이	NOUN	NNG+JKS	NNG+JKS
12	여의치	여의치	여의하+지	ADJ	VA_EC	VA+EC
13	않자	않+자	않+자	AUX	VX+EC	VX+EC
14	이러한	이러한	이러하+ㄴ	ADJ	VA_ETM	VA+ETM
15	선택을	선택+을	선택+을	NOUN	NNG+JKO	NNG+JKO
16	한	한	하+ㄴ	VERB	VV_ETM	VV+ETM
17	것	것	것	NOUN	NNB	NNB

# sent_id = 1905
# file = 00001
# text = 형편이 좋아지면 갚을 생각이었다 .
1	형편이	형편+이	형편+이	NOUN	NNG+JKS	NNG+JKS
2	좋아지면	좋+아지면	좋+아+지+면	ADJ	VA+EC_VX_EC	VA+EC+VX+EC
3	갚을	갚+을	갚+을	VERB	VV+ETM	VV+ETM
4	생각이었다	생각+이었다	생각+이+었+다	VERB	NNG+VCP_EP_EF	NNG+VCP+EP+EF
5	.	.	.	PUNC	SF	SF

# sent_id = 1907
# file = 00001
# text = 현대차가 기관투자가들을 대상으로 배당액 상향폭을 문의한 결과 내년 최소 배당액이 올해보다 두 배 늘어난 4000원은 돼야 한다는 요구를 받았다 .
1	현대차가	현대차+가	현대차+가	PROPN	NNP+JKS	NNP+JKS
2	기관투자가들을	기관투자가들+을	기관투자가들+을	NOUN	NNG+JKO	NNG+JKO
3	대상으로	대상+으로	대상+으로	NOUN	NNG+JKB	NNG+JKB
4	배당액	배당액	배당액	NOUN	NNG	NNG
5	상향폭을	상향폭+을	상향폭+을	NOUN	NNG+JKO	NNG+JKO
6	문의한	문의한	문의하+ㄴ	VERB	VV_ETM	VV+ETM
7	결과	결과	결과	NOUN	NNG	NNG
8	내년	내년	내년	NOUN	NNG	NNG
9	최소	최소	최소	NOUN	NNG	NNG
10	배당액이	배당액+이	배당액+이	NOUN	NNG+JKS	NNG+JKS
11	올해보다	올해+보다	올해+보다	NOUN	NNG+JKB	NNG+JKB
12	두	두	두	DET	MM	MM
13	배	배	배	NOUN	NNG	NNG
14	늘어난	늘어난	늘어나+ㄴ	VERB	VV_ETM	VV+ETM
15	4000원은	4000+원은	4000+원+은	NUM	SN+NNB_JX	SN+NNB+JX
16	돼야	돼+야	되+어야	VERB	VV+EC	VV+EC
17	한다는	한+다는	하+ㄴ다는	AUX	VX+ETM	VX+ETM
18	요구를	요구+를	요구+를	NOUN	NNG+JKO	NNG+JKO
19	받았다	받+았다	받+았+다	VERB	VV+EP_EF	VV+EP+EF
20	.	.	.	PUNC	SF	SF

# sent_id = 1908
# file = 00001
# text = 정치인이면 당연히 예상되는 , 당연히 감당해야 되는 비판과 검증을 복병 , 자객이라고 말하는 것은 국민이나 언론의 비판을 외면하는 것
1	정치인이면	정치인+이면	정치인+이+면	VERB	NNG+VCP_EC	NNG+VCP+EC
2	당연히	당연히	당연히	ADV	MAG	MAG
3	예상되는	예상되+는	예상되+는	VERB	VV+ETM	VV+ETM
4	,	,	,	PUNC	SP	SP
5	당연히	당연히	당연히	ADV	MAG	MAG
6	감당해야	감당해+야	감당하+어야	VERB	VV+EC	VV+EC
7	되는	되+는	되+는	VERB	VV+ETM	VV+ETM
8	비판과	비판+과	비판+과	NOUN	NNG+JC	NNG+JC
9	검증을	검증+을	검증+을	NOUN	NNG+JKO	NNG+JKO
10	복병	복병	복병	NOUN	NNG	NNG
11	,	,	,	PUNC	SP	SP
12	자객이라고	자객+이라고	자객+이+라고	VERB	NNG+VCP_EC	NNG+VCP+EC
13	말하는	말하+는	말하+는	VERB	VV+ETM	VV+ETM
14	것은	것+은	것+은	NOUN	NNB+JX	NNB+JX
15	국민이나	국민+이나	국민+이나	NOUN	NNG+JC	NNG+JC
16	언론의	언론+의	언론+의	NOUN	NNG+JKG	NNG+JKG
17	비판을	비판+을	비판+을	NOUN	NNG+JKO	NNG+JKO
18	외면하는	외면하+는	외면하+는	VERB	VV+ETM	VV+ETM
19	것	것	것	NOUN	NNB	NNB

# sent_id = 1909
# file = 00001
# text = 인적사항 공개를 통해 체납사업주의 도덕적 해이를 예방하고 , 보험료 자진납부를 유도해 근로자의 권익을 보호하는 데 도움이 될 것
1	인적사항	인적사항	인적사항	NOUN	NNG	NNG
2	공개를	공개+를	공개+를	NOUN	NNG+JKO	NNG+JKO
3	통해	통해	통하+어	VERB	VV_EC	VV+EC
4	체납사업주의	체납사업주+의	체납사업주+의	NOUN	NNG+JKG	NNG+JKG
5	도덕적	도덕적	도덕적	DET	MM	MM
6	해이를	해이+를	해이+를	NOUN	NNG+JKO	NNG+JKO
7	예방하고	예방하+고	예방하+고	VERB	VV+EC	VV+EC
8	,	,	,	PUNC	SP	SP
9	보험료	보험료	보험료	NOUN	NNG	NNG
10	자진납부를	자진납부+를	자진납부+를	NOUN	NNG+JKO	NNG+JKO
11	유도해	유도해	유도하+어	VERB	VV_EC	VV+EC
12	근로자의	근로자+의	근로자+의	NOUN	NNG+JKG	NNG+JKG
13	권익을	권익+을	권익+을	NOUN	NNG+JKO	NNG+JKO
14	보호하는	보호하+는	보호하+는	VERB	VV+ETM	VV+ETM
15	데	데	데	NOUN	NNB	NNB
16	도움이	도움+이	도움+이	NOUN	NNG+JKC	NNG+JKC
17	될	될	되+ㄹ	VERB	VV_ETM	VV+ETM
18	것	것	것	NOUN	NNB	NNB

# sent_id = 1910
# file = 00001
# text = 서민 생활과 밀접한 정책이 무엇보다 중요한 만큼 민생 법안 및 정책을 컨트롤하는 TF를 추가 설치하는 방안을 긍정적으로 검토하고 있다 .
1	서민	서민	서민	NOUN	NNG	NNG
2	생활과	생활+과	생활+과	NOUN	NNG+JKB	NNG+JKB
3	밀접한	밀접한	밀접하+ㄴ	ADJ	VA_ETM	VA+ETM
4	정책이	정책+이	정책+이	NOUN	NNG+JKS	NNG+JKS
5	무엇보다	무엇+보다	무엇+보다	PRON	NP+JKB	NP+JKB
6	중요한	중요한	중요하+ㄴ	ADJ	VA_ETM	VA+ETM
7	만큼	만큼	만큼	NOUN	NNB	NNB
8	민생	민생	민생	NOUN	NNG	NNG
9	법안	법안	법안	NOUN	NNG	NNG
10	및	및	및	ADV	MAJ	MAJ
11	정책을	정책+을	정책+을	NOUN	NNG+JKO	NNG+JKO
12	컨트롤하는	컨트롤하+는	컨트롤하+는	VERB	VV+ETM	VV+ETM
13	TF를	TF+를	TF+를	NOUN	SL+JKO	SL+JKO
14	추가	추가	추가	NOUN	NNG	NNG
15	설치하는	설치하+는	설치하+는	VERB	VV+ETM	VV+ETM
16	방안을	방안+을	방안+을	NOUN	NNG+JKO	NNG+JKO
17	긍정적으로	긍정적+으로	긍정적+으로	NOUN	NNG+JKB	NNG+JKB
18	검토하고	검토하+고	검토하+고	VERB	VV+EC	VV+EC
19	있다	있+다	있+다	AUX	VX+EF	VX+EF
20	.	.	.	PUNC	SF	SF

# sent_id = 1912
# file = 00001
# text = 국가정보원 개혁 , 공직자비리수사처 설치 같은 필수적 개혁과제와 시급한 민생법안 처리가 지연될수록 모든 피해는 국민에게 돌아간다 .
1	국가정보원	국가정보원	국가정보원	NOUN	NNG	NNG
2	개혁	개혁	개혁	NOUN	NNG	NNG
3	,	,	,	PUNC	SP	SP
4	공직자비리수사처	공직자비리수사처	공직자비리수사처	NOUN	NNG	NNG
5	설치	설치	설치	NOUN	NNG	NNG
6	같은	같+은	같+은	ADJ	VA+ETM	VA+ETM
7	필수적	필수적	필수적	NOUN	NNG	NNG
8	개혁과제와	개혁과제+와	개혁과제+와	NOUN	NNG+JC	NNG+JC
9	시급한	시급한	시급하+ㄴ	ADJ	VA_ETM	VA+ETM
10	민생법안	민생법안	민생법안	NOUN	NNG	NNG
11	처리가	처리+가	처리+가	NOUN	NNG+JKS	NNG+JKS
12	지연될수록	지연될+수록	지연되+ㄹ수록	VERB	VV+EC	VV+EC
13	모든	모든	모든	DET	MM	MM
14	피해는	피해+는	피해+는	NOUN	NNG+JX	NNG+JX
15	국민에게	국민+에게	국민+에게	NOUN	NNG+JKB	NNG+JKB
16	돌아간다	돌아간+다	돌아가+ㄴ다	VERB	VV+EF	VV+EF
17	.	.	.	PUNC	SF	SF

# sent_id = 1913
# file = 00001
# text = 시급한 민생법안 처리를 위해 필요한 모든 상임위의 정상운영에 즉각 협력할 것을 자유한국당에 강력히 촉구한다 .
1	시급한	시급한	시급하+ㄴ	ADJ	VA_ETM	VA+ETM
2	민생법안	민생법안	민생법안	NOUN	NNG	NNG
3	처리를	처리+를	처리+를	NOUN	NNG+JKO	NNG+JKO
4	위해	위해	위하+어	VERB	VV_EC	VV+EC
5	필요한	필요한	필요하+ㄴ	ADJ	VA_ETM	VA+ETM
6	모든	모든	모든	DET	MM	MM
7	상임위의	상임위+의	상임위+의	NOUN	NNG+JKG	NNG+JKG
8	정상운영에	정상운영+에	정상운영+에	NOUN	NNG+JKB	NNG+JKB
9	즉각	즉각	즉각	ADV	MAG	MAG
10	협력할	협력할	협력하+ㄹ	VERB	VV_ETM	VV+ETM
11	것을	것+을	것+을	NOUN	NNB+JKO	NNB+JKO
12	자유한국당에	자유한국당+에	자유한국당+에	PROPN	NNP+JKB	NNP+JKB
13	강력히	강력히	강력히	ADV	MAG	MAG
14	촉구한다	촉구한+다	촉구하+ㄴ다	VERB	VV+EF	VV+EF
15	.	.	.	PUNC	SF	SF

# sent_id = 1915
# file = 00001
# text = 두 선수 모두 26일에 인근 병원에서 정밀 검진을 받을 것
1	두	두	두	DET	MM	MM
2	선수	선수	선수	NOUN	NNG	NNG
3	모두	모두	모두	ADV	MAG	MAG
4	26일에	26+일에	26+일+에	NUM	SN+NNB_JKB	SN+NNB+JKB
5	인근	인근	인근	NOUN	NNG	NNG
6	병원에서	병원+에서	병원+에서	NOUN	NNG+JKB	NNG+JKB
7	정밀	정밀	정밀	NOUN	NNG	NNG
8	검진을	검진+을	검진+을	NOUN	NNG+JKO	NNG+JKO
9	받을	받+을	받+을	VERB	VV+ETM	VV+ETM
10	것	것	것	NOUN	NNB	NNB

# sent_id = 1916
# file = 00001
# text = 독일 통일은 시대 변화가 준 선물일 뿐 아니라 서독 정부와 정치 지도자가 치밀한 준비를 해왔기에 가능했던 것
1	독일	독일	독일	PROPN	NNP	NNP
2	통일은	통일+은	통일+은	NOUN	NNG+JX	NNG+JX
3	시대	시대	시대	NOUN	NNG	NNG
4	변화가	변화+가	변화+가	NOUN	NNG+JKS	NNG+JKS
5	준	준	주+ㄴ	VERB	VV_ETM	VV+ETM
6	선물일	선물+일	선물+이+ㄹ	VERB	NNG+VCP_ETM	NNG+VCP+ETM
7	뿐	뿐	뿐	NOUN	NNB	NNB
8	아니라	아니+라	아니+라	ADJ	VCN+EC	VCN+EC
9	서독	서독	서독	PROPN	NNP	NNP
10	정부와	정부+와	정부+와	NOUN	NNG+JC	NNG+JC
11	정치	정치	정치	NOUN	NNG	NNG
12	지도자가	지도자+가	지도자+가	NOUN	NNG+JKS	NNG+JKS
13	치밀한	치밀한	치밀하+ㄴ	ADJ	VA_ETM	VA+ETM
14	준비를	준비+를	준비+를	NOUN	NNG+JKO	NNG+JKO
15	해왔기에	해+왔기에	하+어+오+았+기에	VERB	VV+EC_VX_EP_EC	VV+EC+VX+EP+EC
16	가능했던	가능했+던	가능하+었+던	ADJ	VA+EP_ETM	VA+EP+ETM
17	것	것	것	NOUN	NNB	NNB

# sent_id = 1918
# file = 00001
# text = 전라북도 새만금이 더 크게 도약할 수 있기를 바란다 .
1	전라북도	전라북도	전라북도	PROPN	NNP	NNP
2	새만금이	새만금+이	새만금+이	PROPN	NNP+JKS	NNP+JKS
3	더	더	더	ADV	MAG	MAG
4	크게	크+게	크+게	ADJ	VA+EC	VA+EC
5	도약할	도약할	도약하+ㄹ	VERB	VV_ETM	VV+ETM
6	수	수	수	NOUN	NNB	NNB
7	있기를	있+기를	있+기+를	ADJ	VA+ETN_JKO	VA+ETN+JKO
8	바란다	바란+다	바라+ㄴ다	VERB	VV+EF	VV+EF
9	.	.	.	PUNC	SF	SF

# sent_id = 1919
# file = 00001
# text = 우리가 호남에서 안철수 후보에게 밀리고 있다 .
1	우리가	우리+가	우리+가	PRON	NP+JKS	NP+JKS
2	호남에서	호남+에서	호남+에서	PROPN	NNP+JKB	NNP+JKB
3	안철수	안철수	안철수	PROPN	NNP	NNP
4	후보에게	후보+에게	후보+에게	NOUN	NNG+JKB	NNG+JKB
5	밀리고	밀리+고	밀리+고	VERB	VV+EC	VV+EC
6	있다	있+다	있+다	AUX	VX+EF	VX+EF
7	.	.	.	PUNC	SF	SF

# sent_id = 1920
# file = 00001
# text = 호남이 저희 당의 전통적 지지 지역인데 , 우리 당 후보가 오히려 무소속 후보에게 밀리고 있는 이런 상황을 타개하기 위해 이번 주에 호남을 방문해 호남 민심에 호소할 생각
1	호남이	호남+이	호남+이	PROPN	NNP+JKS	NNP+JKS
2	저희	저희	저희	PRON	NP	NP
3	당의	당+의	당+의	NOUN	NNG+JKG	NNG+JKG
4	전통적	전통적	전통적	DET	MM	MM
5	지지	지지	지지	NOUN	NNG	NNG
6	지역인데	지역+인데	지역+이+ㄴ데	VERB	NNG+VCP_EC	NNG+VCP+EC
7	,	,	,	PUNC	SP	SP
8	우리	우리	우리	PRON	NP	NP
9	당	당	당	NOUN	NNG	NNG
10	후보가	후보+가	후보+가	NOUN	NNG+JKS	NNG+JKS
11	오히려	오히려	오히려	ADV	MAG	MAG
12	무소속	무소속	무소속	NOUN	NNG	NNG
13	후보에게	후보+에게	후보+에게	NOUN	NNG+JKB	NNG+JKB
14	밀리고	밀리+고	밀리+고	VERB	VV+EC	VV+EC
15	있는	있+는	있+는	AUX	VX+ETM	VX+ETM
16	이런	이런	이런	DET	MM	MM
17	상황을	상황+을	상황+을	NOUN	NNG+JKO	NNG+JKO
18	타개하기	타개하+기	타개하+기	VERB	VV+ETN	VV+ETN
19	위해	위해	위하+어	VERB	VV_EC	VV+EC
20	이번	이번	이번	NOUN	NNG	NNG
21	주에	주+에	주+에	NOUN	NNG+JKB	NNG+JKB
22	호남을	호남+을	호남+을	PROPN	NNP+JKO	NNP+JKO
23	방문해	방문해	방문하+어	VERB	VV_EC	VV+EC
24	호남	호남	호남	PROPN	NNP	NNP
25	민심에	민심+에	민심+에	NOUN	NNG+JKB	NNG+JKB
26	호소할	호소할	호소하+ㄹ	VERB	VV_ETM	VV+ETM
27	생각	생각	생각	NOUN	NNG	NNG

# sent_id = 1921
# file = 00001
# text = 이들이 밀반입해 판매한 스테로이드제는 보디빌딩 선수나 헬스 트레이너 등이 심각한 부작용이 있을 수 있다는 것을 알면서도 대회에서 좋은 성적을 내기 위해 구입하고 있으며 , 헬스에 관심이 있는 젊은이들도 체지방 감소와 좋은 근육을 만들기 위해 죄의식 없이 구입해 사용하고 있는 실정이다 .
1	이들이	이+들이	이+들+이	PRON	NP+XSN_JKS	NP+XSN+JKS
2	밀반입해	밀반입해	밀반입하+어	VERB	VV_EC	VV+EC
3	판매한	판매한	판매하+ㄴ	VERB	VV_ETM	VV+ETM
4	스테로이드제는	스테로이드제+는	스테로이드제+는	NOUN	NNG+JX	NNG+JX
5	보디빌딩	보디빌딩	보디빌딩	NOUN	NNG	NNG
6	선수나	선수+나	선수+나	NOUN	NNG+JC	NNG+JC
7	헬스	헬스	헬스	NOUN	NNG	NNG
8	트레이너	트레이너	트레이너	NOUN	NNG	NNG
9	등이	등+이	등+이	NOUN	NNB+JKS	NNB+JKS
10	심각한	심각한	심각하+ㄴ	ADJ	VA_ETM	VA+ETM
11	부작용이	부작용+이	부작용+이	NOUN	NNG+JKS	NNG+JKS
12	있을	있+을	있+을	ADJ	VA+ETM	VA+ETM
13	수	수	수	NOUN	NNB	NNB
